tweet,date
"RT @mcuban: As long as more companies take doge for products/services, then Doge can be a usable currency because it MAY  hold its purchasi…",Sun May 02 23:59:59 +0000 2021
When #doge hits $100...🚀 https://t.co/nxbTmKIjTN,Sun May 02 23:59:58 +0000 2021
RT @flurbnb: $300 to someone who retweets this and follows @Blocksync_VC in 3 days #giveaway #giveaways #giveawayalert $BTC $ETH $BNB $TRX…,Sun May 02 23:59:57 +0000 2021
"RT @mcuban: As long as more companies take doge for products/services, then Doge can be a usable currency because it MAY  hold its purchasi…",Sun May 02 23:59:56 +0000 2021
"@MattWallace888 I’ll keep DOGE forever! You just have to! We’re bonded by it , molded. https://t.co/5L0btdhNVl",Sun May 02 23:59:54 +0000 2021
@TheCryptoLark DOGE HATERRRRRR,Sun May 02 23:59:54 +0000 2021
"RT @mcuban: As long as more companies take doge for products/services, then Doge can be a usable currency because it MAY  hold its purchasi…",Sun May 02 23:59:53 +0000 2021
"RT @TheBeetCoin: 100 $Doge giveaway! On May 8th I will give one person 100 $Doge. All you have to do is follow me and retweet!
The giveaway…",Sun May 02 23:59:52 +0000 2021
"RT @mcuban: Meme coins like Doge only work if they gain utility and users use them for that utility.  As long as you can spend Doge , becau…",Sun May 02 23:59:50 +0000 2021
RT @AdamovMurat: @KEEMSTAR $DOGE https://t.co/yWLjqNZb9U,Sun May 02 23:59:50 +0000 2021
RT @DogecoinRise: Let’s Get #DOGE To $0.50 In May.,Sun May 02 23:59:50 +0000 2021
RT @lisadoge: Anyone pumping $DOGE today? 🚀📈,Sun May 02 23:59:49 +0000 2021
@wildbillflint @deaflibertarian Same with me. I didn't invest a lot. For instance I transfered $9 and some change f… https://t.co/X7hReqeatA,Sun May 02 23:59:49 +0000 2021
@mcuban Dad are you turned off at the amount of doge that can be mined on a daily basis?,Sun May 02 23:59:48 +0000 2021
RT @dogecoinlift: Retweet this for a $1.00+ #Doge in 2021 📈🧲,Sun May 02 23:59:48 +0000 2021
RT @kokid951: 👏🏻👏🏻 #DOGE TO THE MOON 🚀🌕 https://t.co/cXOFLYuqnu,Sun May 02 23:59:48 +0000 2021
RT @DogecoinRise: Let’s Get #DOGE To $0.50 In May.,Sun May 02 23:59:46 +0000 2021
RT @GetRammed69: @mcuban Here’s a picture of my Doge ram Mark https://t.co/FwYspuB0Yh,Sun May 02 23:59:45 +0000 2021
"RT @CatnipMoney: $CATNIP is being talked about across the internet. Here is an article by @CoinCodex created on $CATNIP. 

Show some love #…",Sun May 02 23:59:45 +0000 2021
RT @BigImpactHumans: $Doge is #1 and always will be,Sun May 02 23:59:45 +0000 2021
"@elonmusk At the end of the show, Airdrop 10 elon 10 shib 10 doge
To all wallets. 
A site to sign up and a bot. Is… https://t.co/PVIocDHpVy",Sun May 02 23:59:45 +0000 2021
RT @CryptAbby: What other coins do y'all have other than $DOGE?,Sun May 02 23:59:44 +0000 2021
RT @Cocochaneladair: @cryptobiggums After I sell everything for more Doge: https://t.co/EoKvUv5V1u,Sun May 02 23:59:44 +0000 2021
RT @dogecoin_empire: Lil Doge the #Dogecoin whisperer 😂😂 https://t.co/1XRlk0EpoB,Sun May 02 23:59:44 +0000 2021
RT @sgtesco: Omg this really happened! Thx for the $DOGE my dude... was not expecting it...this is the best community of all time!!!!! http…,Sun May 02 23:59:43 +0000 2021
@MattWallace888 I'm not selling  for 4/5 years and even then I might not.none like a missed opportunity especially when it comes to #Doge,Sun May 02 23:59:43 +0000 2021
"RT @mcuban: As long as more companies take doge for products/services, then Doge can be a usable currency because it MAY  hold its purchasi…",Sun May 02 23:59:42 +0000 2021
RT @JuliaDogecoin: Drop your wallet address for $DOGE - I might have a surprise for somebody,Sun May 02 23:59:40 +0000 2021
"RT @BCumminsSr: It’s #SUNDAYDOGEDAY! Time for my next #doge #giveaway! I will be giving 4 lucky people who #like, #retweet, #followme, and…",Sun May 02 23:59:39 +0000 2021
RT @flurbnb: $300 to someone who retweets this and follows @Blocksync_VC in 3 days #giveaway #giveaways #giveawayalert $BTC $ETH $BNB $TRX…,Sun May 02 23:59:39 +0000 2021
"RT @mcuban: Meme coins like Doge only work if they gain utility and users use them for that utility.  As long as you can spend Doge , becau…",Sun May 02 23:59:39 +0000 2021
"RT @RabbitHasShoes: $600 USDT $BISHU raffle contest!

We will choose 1 winner randomly from the first 300 telegram members and send them 60…",Sun May 02 23:59:38 +0000 2021
"2/n - #DOGE

Pull out into the hourly chart and you see this.

In a bull market, you just have to be long when you… https://t.co/lQKG3Nwju5",Sun May 02 23:59:37 +0000 2021
RT @DogecoinRise: Let’s Get #DOGE To $0.50 In May.,Sun May 02 23:59:37 +0000 2021
"RT @mcuban: As long as more companies take doge for products/services, then Doge can be a usable currency because it MAY  hold its purchasi…",Sun May 02 23:59:37 +0000 2021
RT @izzerdraws: At least the delay gave me time to finish this! I really love how this one turned out #amphibia https://t.co/ikTcRC5OJq,Sun May 02 23:59:37 +0000 2021
RT @sgtesco: Has anyone ever legit won a $DOGE giveaway or are they all bunk?,Sun May 02 23:59:36 +0000 2021
RT @BigImpactHumans: $Doge is #1 and always will be,Sun May 02 23:59:35 +0000 2021
"RT @mcuban: Meme coins like Doge only work if they gain utility and users use them for that utility.  As long as you can spend Doge , becau…",Sun May 02 23:59:31 +0000 2021
👏🏻👏🏻 #DOGE TO THE MOON 🚀🌕 https://t.co/cXOFLYuqnu,Sun May 02 23:59:31 +0000 2021
"RT @SlimJim: Sunday night is for BDE:

BIG

DOGE

ENERGY",Sun May 02 23:59:30 +0000 2021
RT @BigImpactHumans: $Doge is #1 and always will be,Sun May 02 23:59:29 +0000 2021
@ConvexMonster As soon as $XRP $DOGE and $ADA start pumping again,Sun May 02 23:59:27 +0000 2021
"RT @ISofMisfitDoges: #Dogecoin will hit $1,000 in four years. And I’m never selling my #DOGE.🏝🔥🚀 https://t.co/PvHwLOhDIF",Sun May 02 23:59:27 +0000 2021
RT @JuliaDogecoin: #stimulus2doge LETS PUSH DOGE,Sun May 02 23:59:27 +0000 2021
"RT @syndeystocks: I’m planning to giveaway 1,000 $XRP to someone who is following my account and retweets this tweet. 

I’ll be choosing a…",Sun May 02 23:59:25 +0000 2021
